customer_id,name,age,city,purchase,category,city_category,rupees_label
1001,Aarav,24,Hyderabad,1200,Premium,Local,Medium
1002,Priya,29,Mumbai,3400,Premium,Other,High
1003,Rahul,35,Hyderabad,2800,Premium,Local,Medium
1004,Ananya,22,Delhi,900,Regular,Other,Low
1005,Vikram,41,Bangalore,5600,Premium,Other,High
1006,Sneha,27,Chennai,2100,Premium,Other,Medium
1007,Karan,31,Hyderabad,4500,Premium,Local,High
1008,Meera,26,Pune,1800,Premium,Other,Medium
1009,Arjun,38,Mumbai,6200,Premium,Other,High
1010,Divya,23,Delhi,1100,Premium,Other,Medium
1011,Rohan,45,Bangalore,7100,Premium,Other,High
1012,Kavya,30,Hyderabad,3900,Premium,Local,High
1013,Nikhil,28,Chennai,2400,Premium,Other,Medium
1014,Isha,33,Pune,5200,Premium,Other,High
1015,Varun,25,Hyderabad,1600,Premium,Local,Medium
1016,Pooja,37,Mumbai,4800,Premium,Other,High
1017,Aditya,42,Bangalore,8300,Premium,Other,High
1018,Neha,21,Delhi,700,Regular,Other,Low
1019,Sanjay,34,Hyderabad,3500,Premium,Local,High
1020,Aditi,29,Chennai,2700,Premium,Other,Medium
